ACC LIMITED,ACC
SUN PHARMACEUTICALS IND.,SUNPHARMA
SUN TV NETWORK LIMITED,SUNTV
SUZLON ENERGY LIMITED,SUZLON
SYNDICATE BANK,SYNDIBANK
TATA CHEMICALS LTD,TATACHEM
TATA COMMUNICATIONS LTD,TATACOMM
TATA CONSULTANCY SERV LT,TCS
TATA ELXSI LIMITED,TATAELXSI
TATA GLOBAL BEVERAGES LTD,TATAGLOBAL
TATA MOTORS DVR 'A' ORD,TATAMTRDVR
TATA MOTORS LIMITED,TATAMOTORS
TATA POWER CO LTD,TATAPOWER
TATA STEEL LIMITED,TATASTEEL
TECH MAHINDRA LIMITED,TECHM
THE INDIA CEMENTS LIMITED,INDIACEM
THE RAMCO CEMENTS LIMITED,RAMCOCEM
THE SOUTH INDIAN BANK LTD,SOUTHBANK
TITAN COMPANY LIMITED,TITAN
TORRENT PHARMACEUTICALS L,TORNTPHARM
TORRENT POWER LTD,TORNTPOWER
TV18 BROADCAST LIMITED,TV18BRDCST
TVS MOTOR COMPANY LTD,TVSMOTOR
UJJIVAN FINANCIAL SERVICES LIMITED,UJJIVAN
ULTRATECH CEMENT LIMITED,ULTRACEMCO
UNION BANK OF INDIA,UNIONBANK
UNITED BREWERIES LTD,UBL
UNITED SPIRITS LIMITED,MCDOWELL-N
UPL LIMITED,UPL
VEDANTA LIMITED,VEDL
V-GUARD INDUSTRIES LIMITED,VGUARD
VOLTAS LTD,VOLTAS
WIPRO LTD,WIPRO
WOCKHARDT LIMITED,WOCKPHARMA
YES BANK LIMITED,YESBANK
ZEE ENTERTAINMENT ENT LTD,ZEEL
